graph,trial,algo,start,goal,success,path_len,path_cost,nodes_expanded,time_sec,n_nodes,n_edges,density
gnk_1000,1,astar_null,657,784,yes,13,57,982,0.051277,1000,2000,0.004
gnk_1000,1,astar_manhattan,657,784,yes,13,57,982,0.037583,1000,2000,0.004
gnk_1000,1,astar_euclidean,657,784,yes,13,57,982,0.035481,1000,2000,0.004
gnk_1000,1,bfs,657,784,yes,11,0,983,0.000359,1000,2000,0.004
gnk_1000,1,dfs,657,784,yes,397,0,409,0.000261,1000,2000,0.004
gnk_1000,2,astar_null,514,803,yes,12,54,970,0.03645,1000,2000,0.004
gnk_1000,2,astar_manhattan,514,803,yes,12,54,970,0.052907,1000,2000,0.004
gnk_1000,2,astar_euclidean,514,803,yes,12,54,970,0.046001,1000,2000,0.004
gnk_1000,2,bfs,514,803,yes,11,0,971,0.000342,1000,2000,0.004
gnk_1000,2,dfs,514,803,yes,467,0,520,0.000333,1000,2000,0.004
gnk_1000,3,astar_null,167,648,yes,11,53,983,0.044891,1000,2000,0.004
gnk_1000,3,astar_manhattan,167,648,yes,11,53,983,0.033901,1000,2000,0.004
gnk_1000,3,astar_euclidean,167,648,yes,11,53,983,0.037603,1000,2000,0.004
gnk_1000,3,bfs,167,648,yes,9,0,972,0.000323,1000,2000,0.004
gnk_1000,3,dfs,167,648,yes,442,0,464,0.000283,1000,2000,0.004
