trial,heuristic,success,path_len,nodes_expanded,nodes_generated,open_list_max,time_sec
1,zero,yes,199,7978,7978,112,0.923475
1,manhattan,yes,199,1202,1625,425,0.186884
1,euclidean,yes,199,7442,7566,167,0.80683
2,zero,yes,199,8044,8046,109,0.738878
2,manhattan,yes,199,3570,4568,1004,0.621209
2,euclidean,yes,199,7364,7490,168,0.745358
3,zero,yes,199,8014,8014,103,0.762179
3,manhattan,yes,199,2041,2717,684,0.34929
3,euclidean,yes,199,7540,7630,162,0.843093
4,zero,yes,199,7982,7982,103,0.723346
4,manhattan,yes,199,2652,3490,847,0.509392
4,euclidean,yes,199,7556,7656,169,0.778111
5,zero,yes,199,7997,7997,110,0.689399
5,manhattan,yes,199,1555,2076,523,0.216687
5,euclidean,yes,199,7572,7705,158,0.742763
