model,trial,n,m_or_k_or_p,algo,success,path_len,nodes_expanded,time_sec
gnp,1,50,0.05,astar,yes,4,11,6.9e-05
gnp,1,50,0.05,bfs,yes,4,24,2.8e-05
gnp,1,50,0.05,dfs,yes,4,3,2.8e-05
gnp,2,50,0.05,astar,yes,4,11,3.7e-05
gnp,2,50,0.05,bfs,yes,4,24,6.7e-05
gnp,2,50,0.05,dfs,yes,4,3,3.8e-05
gnp,3,50,0.05,astar,yes,4,11,3.6e-05
gnp,3,50,0.05,bfs,yes,4,24,4.8e-05
gnp,3,50,0.05,dfs,yes,4,3,1.7e-05
gnp,4,50,0.05,astar,yes,4,11,3.3e-05
gnp,4,50,0.05,bfs,yes,4,24,1.8e-05
gnp,4,50,0.05,dfs,yes,4,3,5e-06
gnp,5,50,0.05,astar,yes,4,11,3.5e-05
gnp,5,50,0.05,bfs,yes,4,24,1.8e-05
gnp,5,50,0.05,dfs,yes,4,3,1.2e-05
gnk,1,50,150,astar,yes,2,1,1.2e-05
gnk,1,50,150,bfs,yes,2,5,1e-05
gnk,1,50,150,dfs,yes,19,19,3.4e-05
gnk,2,50,150,astar,yes,2,1,1.6e-05
gnk,2,50,150,bfs,yes,2,5,7e-06
gnk,2,50,150,dfs,yes,19,19,1.8e-05
gnk,3,50,150,astar,yes,2,1,2.6e-05
gnk,3,50,150,bfs,yes,2,5,6e-06
gnk,3,50,150,dfs,yes,19,19,3e-05
gnk,4,50,150,astar,yes,2,1,1e-05
gnk,4,50,150,bfs,yes,2,5,1e-05
gnk,4,50,150,dfs,yes,19,19,1.5e-05
gnk,5,50,150,astar,yes,2,1,9e-06
gnk,5,50,150,bfs,yes,2,5,4e-06
gnk,5,50,150,dfs,yes,19,19,1.3e-05
grid,1,10,10,astar,yes,6,26,0.000108
grid,1,10,10,bfs,yes,4,24,1.2e-05
grid,1,10,10,dfs,yes,62,61,4.2e-05
grid,2,10,10,astar,yes,6,26,0.00011
grid,2,10,10,bfs,yes,4,24,1.9e-05
grid,2,10,10,dfs,yes,62,61,3.9e-05
grid,3,10,10,astar,yes,6,26,0.00011
grid,3,10,10,bfs,yes,4,24,5.3e-05
grid,3,10,10,dfs,yes,62,61,0.000117
grid,4,10,10,astar,yes,6,26,9.9e-05
grid,4,10,10,bfs,yes,4,24,2e-05
grid,4,10,10,dfs,yes,62,61,0.000152
grid,5,10,10,astar,yes,6,26,9.7e-05
grid,5,10,10,bfs,yes,4,24,1.6e-05
grid,5,10,10,dfs,yes,62,61,3.4e-05
geo,1,50,0.25,astar,no,0,1,5e-06
geo,1,50,0.25,bfs,no,0,1,6e-06
geo,1,50,0.25,dfs,no,0,1,2.5e-05
geo,2,50,0.25,astar,no,0,1,7e-06
geo,2,50,0.25,bfs,no,0,1,6e-06
geo,2,50,0.25,dfs,no,0,1,2e-06
geo,3,50,0.25,astar,no,0,1,2.4e-05
geo,3,50,0.25,bfs,no,0,1,9e-06
geo,3,50,0.25,dfs,no,0,1,7e-06
geo,4,50,0.25,astar,no,0,1,5e-06
geo,4,50,0.25,bfs,no,0,1,4e-06
geo,4,50,0.25,dfs,no,0,1,1.8e-05
geo,5,50,0.25,astar,no,0,1,5e-06
geo,5,50,0.25,bfs,no,0,1,6e-06
geo,5,50,0.25,dfs,no,0,1,3e-06
