model,trial,n,m_or_k_or_p,success,path_len,nodes_expanded,time_sec
gnp,1,50,0.05,yes,10,40,0.000175
gnp,2,50,0.05,yes,10,40,9.4e-05
gnp,3,50,0.05,yes,10,40,8.5e-05
gnp,4,50,0.05,yes,10,40,8.6e-05
gnp,5,50,0.05,yes,10,40,7.8e-05
gnk,1,50,150,yes,7,43,0.000217
gnk,2,50,150,yes,7,43,0.000166
gnk,3,50,150,yes,7,43,0.000312
gnk,4,50,150,yes,7,43,0.000166
gnk,5,50,150,yes,7,43,0.000179
grid,1,10,10,yes,19,99,0.000418
grid,2,10,10,yes,19,99,0.00029
grid,3,10,10,yes,19,99,0.000297
grid,4,10,10,yes,19,99,0.000272
grid,5,10,10,yes,19,99,0.0003
geo,1,50,0.25,yes,1,0,5e-06
