test_id,rows,cols,obstacle_prob,found_path,path_length,nodes_expanded,time_sec
1,20,20,0.25,yes,39,148,0.020876
2,20,20,0.25,no,0,1,5.3e-05
3,20,20,0.25,yes,39,133,0.012411
4,20,20,0.25,yes,39,163,0.014623
5,20,20,0.25,yes,39,105,0.008947
6,20,20,0.25,yes,39,165,0.014834
7,20,20,0.25,no,0,288,0.022454
8,20,20,0.25,yes,41,99,0.008985
9,20,20,0.25,no,0,283,0.025305
10,20,20,0.25,yes,39,113,0.008243
11,20,20,0.25,yes,39,156,0.016744
12,20,20,0.25,yes,39,132,0.012281
13,20,20,0.25,yes,39,147,0.013707
14,20,20,0.25,no,0,252,0.022137
15,20,20,0.25,yes,39,74,0.007173
16,20,20,0.25,no,0,1,5.4e-05
17,20,20,0.25,yes,39,128,0.011309
18,20,20,0.25,yes,41,261,0.022321
19,20,20,0.25,no,0,6,0.000377
20,20,20,0.25,yes,39,155,0.016935
21,20,20,0.25,yes,39,186,0.018729
22,20,20,0.25,yes,39,146,0.014762
23,20,20,0.25,no,0,299,0.095629
24,20,20,0.25,no,0,1,4.7e-05
25,20,20,0.25,no,0,263,0.024549
26,20,20,0.25,yes,39,130,0.014053
27,20,20,0.25,yes,39,112,0.010551
28,20,20,0.25,yes,39,132,0.013117
29,20,20,0.25,no,0,2,0.000161
30,20,20,0.25,no,0,1,5.2e-05
31,20,20,0.25,no,0,4,0.000252
32,20,20,0.25,no,0,1,5e-05
33,20,20,0.25,yes,41,149,0.01304
34,20,20,0.25,no,0,2,0.000132
35,20,20,0.25,no,0,304,0.043892
36,20,20,0.25,yes,41,167,0.015573
37,20,20,0.25,yes,41,190,0.017145
38,20,20,0.25,no,0,12,0.000786
39,20,20,0.25,no,0,298,0.02583
40,20,20,0.25,yes,39,122,0.010755
41,20,20,0.25,no,0,303,0.026121
42,20,20,0.25,no,0,3,0.00024
43,20,20,0.25,yes,39,203,0.019632
44,20,20,0.25,yes,39,140,0.016011
45,20,20,0.25,yes,39,171,0.017603
46,20,20,0.25,yes,39,111,0.011642
47,20,20,0.25,yes,39,106,0.009348
48,20,20,0.25,yes,39,127,0.011206
49,20,20,0.25,yes,39,244,0.023611
50,20,20,0.25,yes,39,149,0.015729
